X,Y,OBJECTID,NAME,PMT_NBR,REFERENCE_POINT,CHANGED_DATE,CHANGED_BY,VERIFYDATE,VERIFIEDBY,INSERTED_DATE,INSERTED_BY,PERM_ID,PERM_NUM,PERM_NAME,PERM_TOTAL_ACRES,PTC_DESCRIPTION,CLAS_DESCRIPTION,FAC_L_ADDR_1,FAC_L_ADDR_2,FAC_LOCATION,FAC_FIC_COUNTY,COUNTY,REGION,RECOMCOM,PERMIT_STATUS,PERM_MW
-8520857.6936,4550568.6534,11,,RE0000148,PG,2019/12/12 14:32:41+00,SMTRIPP,2019/12/12 14:32:42+00,SMTRIPP,2019/12/12 14:31:30+00,SMTRIPP,750000000148,RE0000148,Moraticco Road Solar 1,50,Solar,NOI - Active,,,,103,Lancaster,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8848007.6433,4424759.6234,12,,RE0000149,FC,2019/12/17 15:36:16+00,SMTRIPP,2019/12/17 15:36:16+00,SMTRIPP,2019/12/17 15:36:16+00,SMTRIPP,750000000149,RE0000149,Maplewood Solar,1556,Solar,Permit - Active,,,,143,Pittsylvania,BRRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8710373.2268,4736926.3783,13,,RE0000158,FC,2020/03/23 14:45:28+00,SMTRIPP,2020/03/23 14:45:28+00,SMTRIPP,2020/03/23 14:45:28+00,SMTRIPP,750000000159,RE0000158,"Bartonsville Energy Facility, LLC",1160,Solar,NOI - Active,,,,069,Frederick,VRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8795312.002,4448705.4281,14,,RE0000182,FC,2020/12/07 17:56:11+00,SMTRIPP,2020/12/07 17:56:11+00,SMTRIPP,2020/12/07 17:56:11+00,SMTRIPP,750000000183,RE0000182,"Koala Solar, LLC",131,Solar,NOI - Active,,,,031,Campbell,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8792555.5088,4439931.991,15,,RE0000183,FC,2020/12/07 18:03:57+00,SMTRIPP,2020/12/07 18:03:57+00,SMTRIPP,2020/12/07 18:03:57+00,SMTRIPP,750000000184,RE0000183,"Kangaroo Solar, LLC",137,Solar,NOI - Active,,,,031,Campbell,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8704270.1357,4595478.354,16,,RE0000184,FC,2020/12/07 18:14:07+00,SMTRIPP,2020/12/07 18:14:07+00,SMTRIPP,2020/12/07 18:14:07+00,SMTRIPP,750000000185,RE0000184,"Turkey Solar, LLC",141,Solar,NOI - Active,,,,075,Goochland,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8678143.4512,4581903.7817,17,,RE0000186,FC,2021/01/20 09:02:04+00,SMTRIPP,2021/01/20 09:02:04+00,SMTRIPP,2021/01/20 09:01:07+00,SMTRIPP,750000000187,RE0000186,"Energix Aditya, LLC",95,Solar,NOI - Active,,,,109,Louisa,NRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-9022422.5762,4434117.903,18,,RE0000113,FC,2019/12/03 11:12:03+00,SMTRIPP,2019/12/03 11:12:03+00,SMTRIPP,2019/10/25 15:15:54+00,SMTRIPP,750000000113,RE0000113,Caden Energix Wytheville LLC,154,Solar,Permit - Active,,,,197,Wythe,SWRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8630511.3996,4417175.9971,19,,RE0000112,FC,2019/12/03 11:11:01+00,SMTRIPP,2019/12/03 11:11:01+00,SMTRIPP,2019/10/25 15:20:01+00,SMTRIPP,750000000112,RE0000112,Caden Energix Jarratt LLC,695,Solar,NOI - Active,,,,081,Greensville,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8809034.2443,4458164.2078,20,,RE0000110,PG,2019/10/25 15:25:17+00,SMTRIPP,2019/10/25 15:25:17+00,SMTRIPP,2019/10/25 15:25:17+00,SMTRIPP,750000000110,RE0000110,Caden Energix Gladys LLC,1108,Solar,NOI - Active,,,,031,Campbell,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
